iter	Passed	Remaining
0	1	131
1	2	146
2	4	155
3	6	147
4	7	150
5	9	146
6	10	141
7	11	137
8	13	132
9	14	128
10	15	125
11	16	122
12	19	128
13	20	128
14	22	126
15	23	123
16	24	120
17	25	118
18	27	115
19	28	112
20	29	110
21	31	110
22	35	119
23	37	117
24	38	115
25	39	112
26	40	109
27	41	107
28	42	104
29	43	102
30	44	99
31	45	97
32	47	95
33	49	96
34	51	94
35	52	92
36	53	90
37	54	88
38	55	86
39	56	84
40	57	83
41	58	80
42	59	78
43	60	76
44	61	74
45	63	74
46	64	73
47	65	71
48	66	69
49	67	67
50	68	66
51	69	64
52	70	62
53	71	61
54	72	59
55	73	57
56	74	56
57	75	54
58	76	53
59	79	52
60	80	51
61	81	49
62	82	48
63	83	46
64	84	45
65	85	44
66	86	42
67	87	41
68	88	39
69	89	38
70	90	36
71	91	35
72	93	34
73	94	33
74	95	31
75	96	30
76	97	29
77	99	27
78	100	26
79	101	25
80	102	23
81	103	22
82	104	21
83	105	20
84	107	19
85	109	17
86	110	16
87	111	15
88	112	13
89	113	12
90	114	11
91	115	10
92	116	8
93	118	7
94	119	6
95	121	5
96	123	3
97	124	2
98	125	1
99	126	0
